record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date
R_1M4Ko6ApyDmJP5SEf,3249148Ef,new_entry,,,"","ON March 12, Slovak government announces intention to close schools and universities beginning Monday March 16, to be upheld for at least 14 days.",2020-03-12,2020-03-16,2020-03-30,The policy has a clear end date,Slovakia,SVK,SK,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Slovakia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2P1JdX8GijdJniw,https://www.health.gov.sk/Clanok?koronavirus-opatrenia-sprisnene,2020-04-03,2020-04-03T09:16:22Z
R_1M4Ko6ApyDmJP5SFp,3249148Fp,new_entry,,,"","ON March 12, Slovak government announces intention to close schools and universities beginning Monday March 16, to be upheld for at least 14 days.",2020-03-12,2020-03-16,2020-03-30,The policy has a clear end date,Slovakia,SVK,SK,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Slovakia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2P1JdX8GijdJniw,https://www.health.gov.sk/Clanok?koronavirus-opatrenia-sprisnene,2020-04-03,2020-04-03T09:16:22Z
R_1M4Ko6ApyDmJP5SCb,3249148Cb,new_entry,,,"","ON March 12, Slovak government announces intention to close schools and universities beginning Monday March 16, to be upheld for at least 14 days.",2020-03-12,2020-03-16,2020-03-30,The policy has a clear end date,Slovakia,SVK,SK,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Slovakia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2P1JdX8GijdJniw,https://www.health.gov.sk/Clanok?koronavirus-opatrenia-sprisnene,2020-04-03,2020-04-03T09:16:22Z
R_3LbDlanaqrUiWHYEe,4322114Ee,new_entry,,,"","Starting on March 16, 2020, the Slovac government announced the closure of all preschool and school facilities, leisure centers, or other organized leisure activities for children till April 2, 2020. MoH recommends a shift for graduation ceremonies and for the entrance exams to universities to a later date.",2020-03-16,2020-03-16,2020-04-02,The policy has a clear end date,Slovakia,SVK,SK,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Slovakia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3QRaV7DHZvQrZTg,http://www.ruvzba.sk/koronavirus.html,2022-04-07,2022-04-07T00:45:25Z
R_3LbDlanaqrUiWHYEf,4322114Ef,new_entry,,,"","Starting on March 16, 2020, the Slovac government announced the closure of all preschool and school facilities, leisure centers, or other organized leisure activities for children till April 2, 2020. MoH recommends a shift for graduation ceremonies and for the entrance exams to universities to a later date.",2020-03-16,2020-03-16,2020-04-02,The policy has a clear end date,Slovakia,SVK,SK,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Slovakia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3QRaV7DHZvQrZTg,http://www.ruvzba.sk/koronavirus.html,2022-04-07,2022-04-07T00:45:25Z
R_3LbDlanaqrUiWHYFp,4322114Fp,new_entry,,,"","Starting on March 16, 2020, the Slovac government announced the closure of all preschool and school facilities, leisure centers, or other organized leisure activities for children till April 2, 2020. MoH recommends a shift for graduation ceremonies and for the entrance exams to universities to a later date.",2020-03-16,2020-03-16,2020-04-02,The policy has a clear end date,Slovakia,SVK,SK,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Slovakia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3QRaV7DHZvQrZTg,http://www.ruvzba.sk/koronavirus.html,2022-04-07,2022-04-07T00:45:25Z
R_3LbDlanaqrUiWHYCb,4322114Cb,new_entry,,,"","Starting on March 16, 2020, the Slovac government announced the closure of all preschool and school facilities, leisure centers, or other organized leisure activities for children till April 2, 2020. MoH recommends a shift for graduation ceremonies and for the entrance exams to universities to a later date.",2020-03-16,2020-03-16,2020-04-02,The policy has a clear end date,Slovakia,SVK,SK,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Slovakia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3QRaV7DHZvQrZTg,http://www.ruvzba.sk/koronavirus.html,2022-04-07,2022-04-07T00:45:25Z
R_u375NC5hzNd3wK5Ee,6439356Ee,new_entry,,,"","From 20 June 2020, all facilities for children and young people will be able to operate. Pupils and students will not have to wear a veil as part of the educational process. Schools will be able to be open for 10 hours and schools no longer have to collect affidavits about a child's health",2020-06-19,2020-06-20,,The policy’s end date is unknown or unreported,Slovakia,SVK,SK,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities allowed to open with no conditions,"",Yes,Slovakia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_yrQiPHVFt75IW7n,https://korona.gov.sk/ako-sa-budu-uvolnovat-opatrenia-uvodne-informacie/,2022-04-07,2022-04-07T01:00:34Z
R_u375NC5hzNd3wK5Ef,6439356Ef,new_entry,,,"","From 20 June 2020, all facilities for children and young people will be able to operate. Pupils and students will not have to wear a veil as part of the educational process. Schools will be able to be open for 10 hours and schools no longer have to collect affidavits about a child's health",2020-06-19,2020-06-20,,The policy’s end date is unknown or unreported,Slovakia,SVK,SK,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with no conditions,"",Yes,Slovakia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_yrQiPHVFt75IW7n,https://korona.gov.sk/ako-sa-budu-uvolnovat-opatrenia-uvodne-informacie/,2022-04-07,2022-04-07T01:00:34Z
R_u375NC5hzNd3wK5Fp,6439356Fp,new_entry,,,"","From 20 June 2020, all facilities for children and young people will be able to operate. Pupils and students will not have to wear a veil as part of the educational process. Schools will be able to be open for 10 hours and schools no longer have to collect affidavits about a child's health",2020-06-19,2020-06-20,,The policy’s end date is unknown or unreported,Slovakia,SVK,SK,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with no conditions,"",Yes,Slovakia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_yrQiPHVFt75IW7n,https://korona.gov.sk/ako-sa-budu-uvolnovat-opatrenia-uvodne-informacie/,2022-04-07,2022-04-07T01:00:34Z
R_u375NC5hzNd3wK5Cb,6439356Cb,new_entry,,,"","From 20 June 2020, all facilities for children and young people will be able to operate. Pupils and students will not have to wear a veil as part of the educational process. Schools will be able to be open for 10 hours and schools no longer have to collect affidavits about a child's health",2020-06-19,2020-06-20,,The policy’s end date is unknown or unreported,Slovakia,SVK,SK,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions allowed to open with no conditions,"",Yes,Slovakia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_yrQiPHVFt75IW7n,https://korona.gov.sk/ako-sa-budu-uvolnovat-opatrenia-uvodne-informacie/,2022-04-07,2022-04-07T01:00:34Z
R_3lG5fJ5wte9K4tXCy,2294394,new_entry,,,"","Slovakia instates a nationwide curfew starting October 24th and ending November 1st, 2020. Residents are not permitted to leave their homes between 1:00 and 5:00 am.",2020-10-22,2020-10-24,2020-11-01,The policy has a clear end date,Slovakia,SVK,SK,National,1,,,,Curfew,No the curfew times are always the same regardless of the day of the week,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Slovakia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Police",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_D2zKERnvOTyrreV,https://medicalxpress.com/news/2020-10-slovakia-imposes-partial-curfew.html,2021-08-01,2021-08-01T02:37:28Z
R_3iQo5KwTPCwALyJCy,2294394,update,Change of Policy,Strengthening,timing of policy strengthening,"Slovakia instates a nationwide curfew starting October 24th and ending November 1st, 2020. Residents are not permitted to leave their homes between 1:00 and 5:00 am. UPDATE: Slovakia decides to end the nationwide curfew on November 14th, 2020. It was originally set to last until November 1st.",2020-10-22,2020-10-24,2020-11-14,The policy has a clear end date,Slovakia,SVK,SK,National,1,,,,Curfew,No the curfew times are always the same regardless of the day of the week,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Slovakia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Police",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_D2zKERnvOTyrreV ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_ABgGDGybRM6bYA1,NA ; https://spectator.sme.sk/c/22526971/coronavirus-in-slovakia-nationwide-testing-rules-for-tests-and-curfew.html,2021-08-01,2021-08-01T02:53:06Z
R_3syO2KOIb4dA2I2Cy,2001778,new_entry,,,"",Slovakia instates a nationwide curfew starting December 19th 2020 at 5AM and ending January 10th 2021. The curfew lasts from 5:00pm to 1:00am each day.,2020-12-16,2020-12-19,2021-01-10,The policy has a clear end date,Slovakia,SVK,SK,National,1,,,,Curfew,No the curfew times are always the same regardless of the day of the week,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Slovakia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory with Exceptions (Please list exceptions in the text entry),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3fGFCZqjwuTCwIn,https://spectator.sme.sk/c/22556791/christmas-in-small-bubbles-cabinet-introduces-rules-for-curfew.html,2021-08-04,2021-08-04T17:35:02Z
R_2UYNZm2GWA21isYCy,2619592,new_entry,,,"","Slovakia enforces a nationwide curfew beginning March 3rd as the country introduces new anti-pandemic measures. The curfew lasts from 20:00 to 1:00 the following day. Exceptions to the curfew include going to and from work, doctor's visits, walking pets, outdoor exercise, testing, going to essential stores, funerals, and weddings. It is predicted to end March 19th but may be extended.",2021-02-28,2021-03-03,2021-03-19,The policy has a clear end date,Slovakia,SVK,SK,National,1,,,,Curfew,No the curfew times are always the same regardless of the day of the week,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Slovakia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory with Exceptions (Please list exceptions in the text entry),"National Government,Police",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_NWtb0OBmtu9hKdb,https://spectator.sme.sk/c/22610122/new-rules-come-into-force-but-ordinance-published-late.html ; https://medicalxpress.com/news/2021-03-slovakia-imposes-overnight-curfew-covid.html,2021-08-01,2021-08-01T03:05:57Z
R_svd7wmwMakAYZWhCy,2619592,update,Change of Policy,Relaxing,timing of policy relaxing,"Slovakia enforces a nationwide curfew beginning March 3rd as the country introduces new anti-pandemic measures. The curfew lasts from 20:00 to 1:00 the following day. Exceptions to the curfew include going to and from work, doctor's visits, walking pets, outdoor exercise, testing, going to essential stores, funerals, and weddings. It is predicted to end March 19th but may be extended. UPDATE: Starting April 27th, 2021, Slovakia's curfew is moved back one hour. It will now start at 9:00pm instead of 8:00pm.",2021-02-28,2021-03-03,2021-03-19,The policy has a clear end date,Slovakia,SVK,SK,National,1,,,,Curfew,No the curfew times are always the same regardless of the day of the week,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Slovakia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory with Exceptions (Please list exceptions in the text entry),"National Government,Police",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_NWtb0OBmtu9hKdb ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_WrFMSgpXDahH7j3,NA ; https://global-monitoring.com/gm/page/events/epidemic-0001996.DxDUrX5d3FK8.html?lang=en,2021-08-01,2021-08-01T03:12:22Z
R_3shqMsSbaaxoVmBCy,2619592,update,End of Policy,,"","Slovakia enforces a nationwide curfew beginning March 3rd as the country introduces new anti-pandemic measures. The curfew lasts from 20:00 to 1:00 the following day. Exceptions to the curfew include going to and from work, doctor's visits, walking pets, outdoor exercise, testing, going to essential stores, funerals, and weddings. It is predicted to end March 19th but may be extended. UPDATE: Slovakia's curfew is lifted as the national emergency ends on May 14th, 2021.",2021-02-28,2021-03-03,2021-05-14,The policy has a clear end date,Slovakia,SVK,SK,National,1,,,,Curfew,No the curfew times are always the same regardless of the day of the week,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Slovakia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory with Exceptions (Please list exceptions in the text entry),"National Government,Police",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_NWtb0OBmtu9hKdb ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_sheS5ZHWsgj8Iwh,NA ; https://spectator.sme.sk/c/22659923/news-digest-national-emergency-ends.html,2021-08-01,2021-08-01T03:15:21Z
R_2rZuzZ0G3LVX94bNA,7620606,new_entry,,,"","An emergency situation will apply for all of Slovakia as of Thursday, March 12.",2020-03-11,2020-03-12,,,Slovakia,SVK,SK,National,1,,,,Declaration of Emergency,,,"",,,,,,"","","","","","","","","","","",,,,"",,Slovakia,,,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_Tn0WhFOoegQETkZ,https://spectator.sme.sk/c/22356193/emergency-situation-applies-from-thursday-morning.html,2020-06-11,2020-06-11T19:03:37Z
R_6RJzu7OqTL4ktr3NA,6350505,new_entry,,,"","On March 15, 2020, the Slovak government announces a state of emergency in 22 state-run hospitals spread throughout all regions. This enables the government to control and move health resources and personnel according to the regional concentration of COVID-19 infections.",2020-03-15,2020-03-15,,,Slovakia,SVK,SK,National,1,,,,Declaration of Emergency,,,"",,,,,,"","","","","","","","","","","",,,,"",No,Slovakia,"One or more countries, but not all countries",,,,,,Health Staff,,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1QB172KuWtkTuf8,https://www.health.gov.sk/Clanok?vlada-prijala-mimoriadne-opatrenia-15-3-2020,2022-04-06,2022-04-06T23:28:11Z
R_3mZXMb5xsWnFjWFNA,9290020,new_entry,,,"","An emergency situation was declared for all of Slovakia, effective from March 15th, 2020. The end period is declared to be March 31, 2020.",2020-03-11,2020-03-15,2020-03-31,The policy has a clear end date,Slovakia,SVK,SK,National,1,,,,Declaration of Emergency,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Slovakia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_28OhO3tXeMFtQ1q,https://www.garda.com/crisis24/news-alerts/323121/slovakia-state-of-emergency-declared-due-to-covid-19-on-march-15-update-3 ; https://www.reuters.com/article/us-health-coronavirus-slovakia/slovakia-declares-state-of-emergency-over-coronavirus-orders-shop-closures-idUSKBN21214M,2022-04-06,2022-04-06T23:39:13Z
