record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_2VOQSK74T8qrbw1Ce,2535692Ce,new_entry,,,"",Oman ends school year early on May 7.,2020-05-05,2020-05-07,2020-08-08,The policy has a clear end date,Oman,OMN,OM,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,Oman,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",79.3832343266648,76.1243124821635,72.6322610591838,117,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2953eTtQxKVrfyZ,https://wam.ae/en/details/1395302840873,2020-08-18,2020-08-18T20:18:02Z,2958,15,980,,,,,,,,,135,43.4,0,-0.824784338474274,-1.49370527267456,5,44,4665935,74967750325.0975,0.266797805327585,15.355798800905,25.0403238623427,2,2,2.77816332794951,-0.639609228789709,1856226
R_3e7SzQkDUOesF60Fw,1665951Fw,update,Change of Policy,Strengthening,timing of policy strengthening,"In Oman on August 13, the Supreme Committee decided the school year would begin on November 1, changing a decision from August 12, that the Omani Ministry of Education declares the academic school year begins on August 30. UPDATE: The Ministry of Education decided that the timing of the School Year would start on August 30; the Supreme Committee changed this to November 1.",2020-08-13,2020-08-13,,,Oman,OMN,OM,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with conditions,Physical classroom hours or meeting times reduced (e.g. classes only meet in the morning; classes meet every other day),Yes,Oman,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),86.6519010441973,84.0004568649228,81.0689038193931,137,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2uOJI8LFxWrZOoB ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_vHvCS70emCQUmfT,NA ; https://www.omanobserver.om/supreme-committee-unveils-new-education-schedule-start-of-school-year-on-nov-1/,2020-08-16,2020-08-16T21:54:35Z,82531,551,77278,,,,,,,,,135,43.4,0,-0.824784338474274,-1.49370527267456,5,44,4665935,74967750325.0975,0.266797805327585,15.355798800905,25.0403238623427,2,2,2.77816332794951,-0.639609228789709,1856226
R_3e7SzQkDUOesF60Ce,1665951Ce,update,Change of Policy,Strengthening,timing of policy strengthening,"In Oman on August 13, the Supreme Committee decided the school year would begin on November 1, changing a decision from August 12, that the Omani Ministry of Education declares the academic school year begins on August 30. UPDATE: The Ministry of Education decided that the timing of the School Year would start on August 30; the Supreme Committee changed this to November 1.",2020-08-13,2020-08-13,,,Oman,OMN,OM,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions allowed to open with conditions,Number of people on the school premises are limited (e.g. only 50 people allowed on school premises),Yes,Oman,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),86.6519010441973,84.0004568649228,81.0689038193931,137,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2uOJI8LFxWrZOoB ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_vHvCS70emCQUmfT,NA ; https://www.omanobserver.om/supreme-committee-unveils-new-education-schedule-start-of-school-year-on-nov-1/,2020-08-16,2020-08-16T21:54:35Z,82531,551,77278,,,,,,,,,135,43.4,0,-0.824784338474274,-1.49370527267456,5,44,4665935,74967750325.0975,0.266797805327585,15.355798800905,25.0403238623427,2,2,2.77816332794951,-0.639609228789709,1856226
R_1jHXaCuvH17Ein5Fw,1665951Fw,new_entry,,,"","In Oman on August 12, the Omani Ministry of Education declares the academic school year begins on August 30.",2020-08-12,2020-08-30,,,Oman,OMN,OM,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with conditions,Physical classroom hours or meeting times reduced (e.g. classes only meet in the morning; classes meet every other day),Yes,Oman,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),86.9295044927392,84.1169679085872,81.1027035691092,138,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2uOJI8LFxWrZOoB,https://www.omanobserver.om/new-academic-year-to-start-from-august-30-in-oman/,2020-08-13,2020-08-13T21:44:01Z,85544,677,80459,,,,,,,,,135,43.4,0,-0.824784338474274,-1.49370527267456,5,44,4665935,74967750325.0975,0.266797805327585,15.355798800905,25.0403238623427,2,2,2.77816332794951,-0.639609228789709,1856226
R_1jHXaCuvH17Ein5Ce,1665951Ce,new_entry,,,"","In Oman on August 12, the Omani Ministry of Education declares the academic school year begins on August 30.",2020-08-12,2020-08-30,,,Oman,OMN,OM,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions allowed to open with conditions,Number of people on the school premises are limited (e.g. only 50 people allowed on school premises),Yes,Oman,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),86.9295044927392,84.1169679085872,81.1027035691092,138,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2uOJI8LFxWrZOoB,https://www.omanobserver.om/new-academic-year-to-start-from-august-30-in-oman/,2020-08-13,2020-08-13T21:44:01Z,85544,677,80459,,,,,,,,,135,43.4,0,-0.824784338474274,-1.49370527267456,5,44,4665935,74967750325.0975,0.266797805327585,15.355798800905,25.0403238623427,2,2,2.77816332794951,-0.639609228789709,1856226
R_2tAmh77izTHJf0OEm,711865Em,new_entry,,,"",Oman's Supreme Committee decided on a gradual return to the system of blended learning effective 17 January 2021 for school students applying all precautionary measures stated in the Health Protocol.,2021-01-12,2021-01-17,,The policy’s end date is unknown or unreported,Oman,OMN,OM,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with conditions,"Number of people on the school premises are limited (e.g. only 50 people allowed on school premises),Partial remote/distance learning  (e.g. Teachers with certain health conditions can tele-teach)",Yes,Oman,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3iC19leanpN8Zgo,https://omannews.gov.om/NewsDescription/ArtMID/392/ArticleID/26026/Covid-19-Supreme-Committee-Decides-Gradual-Resumption-of-Blended-Learning-at-Schools-from-17-January,2022-01-21,2022-01-21T18:47:38Z,131790,1512,124067,,,,,25446,1363,0.56,298,135,43.4,0,-0.824784338474274,-1.49370527267456,5,44,4665935,74967750325.0975,0.266797805327585,15.355798800905,25.0403238623427,2,2,2.77816332794951,-0.639609228789709,1856226
R_2tAmh77izTHJf0OFw,711865Fw,new_entry,,,"",Oman's Supreme Committee decided on a gradual return to the system of blended learning effective 17 January 2021 for school students applying all precautionary measures stated in the Health Protocol.,2021-01-12,2021-01-17,,The policy’s end date is unknown or unreported,Oman,OMN,OM,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with conditions,"Number of people on the school premises are limited (e.g. only 50 people allowed on school premises),Partial remote/distance learning  (e.g. Teachers with certain health conditions can tele-teach)",Yes,Oman,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3iC19leanpN8Zgo,https://omannews.gov.om/NewsDescription/ArtMID/392/ArticleID/26026/Covid-19-Supreme-Committee-Decides-Gradual-Resumption-of-Blended-Learning-at-Schools-from-17-January,2022-01-21,2022-01-21T18:47:38Z,131790,1512,124067,,,,,25446,1363,0.56,298,135,43.4,0,-0.824784338474274,-1.49370527267456,5,44,4665935,74967750325.0975,0.266797805327585,15.355798800905,25.0403238623427,2,2,2.77816332794951,-0.639609228789709,1856226
R_2tAmh77izTHJf0OCe,711865Ce,new_entry,,,"",Oman's Supreme Committee decided on a gradual return to the system of blended learning effective 17 January 2021 for school students applying all precautionary measures stated in the Health Protocol.,2021-01-12,2021-01-17,,The policy’s end date is unknown or unreported,Oman,OMN,OM,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions allowed to open with conditions,"Number of people on the school premises are limited (e.g. only 50 people allowed on school premises),Partial remote/distance learning  (e.g. Teachers with certain health conditions can tele-teach)",Yes,Oman,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3iC19leanpN8Zgo,https://omannews.gov.om/NewsDescription/ArtMID/392/ArticleID/26026/Covid-19-Supreme-Committee-Decides-Gradual-Resumption-of-Blended-Learning-at-Schools-from-17-January,2022-01-21,2022-01-21T18:47:38Z,131790,1512,124067,,,,,25446,1363,0.56,298,135,43.4,0,-0.824784338474274,-1.49370527267456,5,44,4665935,74967750325.0975,0.266797805327585,15.355798800905,25.0403238623427,2,2,2.77816332794951,-0.639609228789709,1856226
R_12A2ErCVxk7P4FtAh,3358676,new_entry,,,"",Oman launched its COVID-19 vaccination campaign 27 December 2020 with the sultanate's health minister receiving the first dose of Pfizer-BioNTech COVID-19 vaccine.,2020-12-27,2020-12-27,2022-11-29,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Oman,OMN,OM,National,0,,,,COVID-19 Vaccines,Administering of the vaccine (i.e. giving people the vaccine shot),,Pfizer/BioNTech vaccine (BNT162b2 or Tozinameran),This distribution policy is not about mixing and matching of different vaccines.,,,Certain populations based on demographic characteristics/epidemiological risk given preference for vaccinations,1,Vaccine is free for the individual,National government entity,All medical institutions allowed to administer vaccines,"","","","","","","","",,,,"",Yes,Oman,"One or more countries, but not all countries",,,,,,,"Priority Group 1: Essential medical workers,People with certain health conditions",,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",56.6695388184048,52.4166276154577,49.1016447815336,45,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2cdQmiH82HckxG9,https://www.arabnews.com/node/1783571/middle-east,2022-01-12,2022-01-12T12:56:59Z,128472,1495,120976,,,,,,,,,135,43.4,0,-0.824784338474274,-1.49370527267456,5,44,4665935,74967750325.0975,0.266797805327585,15.355798800905,25.0403238623427,2,2,2.77816332794951,-0.639609228789709,1856226
R_1Io2WoiuAWtKgn3NA,9422320,new_entry,,,"","In Oman, from the Royal Omani Police, on August 9, curfew extended until August 15th.",2020-08-09,2020-08-09,2020-08-15,The policy has a clear end date,Oman,OMN,OM,National,1,,,,Curfew,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Oman,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Police,86.7124571995274,83.9474959807074,81.0321618538904,136,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_d6difAK8aGyUH8R,https://timesofoman.com/article/3017861/oman/royal-oman-police-to-continue-implementing-movement-ban,2020-08-13,2020-08-13T22:38:09Z,81580,513,74691,,,,,,,,,135,43.4,0,-0.824784338474274,-1.49370527267456,5,44,4665935,74967750325.0975,0.266797805327585,15.355798800905,25.0403238623427,2,2,2.77816332794951,-0.639609228789709,1856226
R_XMo1oJHVoZnT6UNNA,9422320,update,Change of Policy,Relaxing,[target_direction] of policy relaxing ; timing of policy relaxing,"The night curfew reimposed on the 25th of July 2020 from 19:00 till 06:00 by the Omani government, it has been lifted as from the 16th of August 2020. This is a consequence of the number of Covid-19 cases decreasing. However, the measures for Dhofar are not yet clear from the official government. UPDATE: The night curfew reimposed on the 25th of July 2020 from 19:00 till 06:00 by the Omani government, it has been lifted as a result of the fall in the number of cases increasing. However, the measures for Dhofar are not yet clear from the official government.",2020-08-16,2020-08-16,,,Oman,OMN,OM,National,1,,,,Curfew,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Oman,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Police,86.9807761786976,84.1665304317796,80.9680186267048,137,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_d6difAK8aGyUH8R ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1fjVYuAHDd50xzn,NA ; https://www.argusmedia.com/en/news/2132813-oman-ends-nationwide-nighttime-curfew,2020-08-23,2020-08-23T13:15:49Z,83086,572,77680,,,,,,,,,135,43.4,0,-0.824784338474274,-1.49370527267456,5,44,4665935,74967750325.0975,0.266797805327585,15.355798800905,25.0403238623427,2,2,2.77816332794951,-0.639609228789709,1856226
R_1r2NHDpsfayrHG6De,5849816,new_entry,,,"",Omani authorities will implement a nationwide 20:00-05:00 curfew between 11 October and 25 October 2020 amidst a nationwide increase in COVID-19 cases.,2020-10-09,2020-10-11,2020-10-25,The policy has a clear end date,Oman,OMN,OM,National,1,,,,Curfew,No the curfew times are always the same regardless of the day of the week,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Oman,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,"Mandatory with Fines,Mandatory (Unspecified/Implied)","National Government,Police",80.456432671666,77.3405300805417,73.5892254643852,135,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1H1wOGlB4aujPlI,https://www.garda.com/crisis24/news-alerts/387626/oman-authorities-to-implement-overnight-curfew-october-11-25-update-24,2022-01-12,2022-01-12T12:22:54Z,105890,1038,92840,,,,,,,,,135,43.4,0,-0.824784338474274,-1.49370527267456,5,44,4665935,74967750325.0975,0.266797805327585,15.355798800905,25.0403238623427,2,2,2.77816332794951,-0.639609228789709,1856226
R_1dstbaiemZocr5tDe,425785,new_entry,,,"","
Domestically, a nightly 1900-0600 curfew has been imposed in the Ash Sharqiyah North Governorate of Oman Feb. 12-26; only fuel stations, pharmacies, and health institutions will be permitted to operate during curfew hours.
",2021-02-12,2021-02-12,2021-02-26,The policy has a clear end date,Oman,OMN,OM,Provincial,1,Northeastern Governorate,,,Curfew,No the curfew times are always the same regardless of the day of the week,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Oman,One or more provinces within one or more countries,,Northeastern Governorate,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Provincial/State Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2azHNeOmCeOSrZf,https://archive.ph/XuY9E,2022-01-21,2022-01-21T18:28:52Z,136622,1539,128461,,,,,46829,1173,1.02,256,135,43.4,0,-0.824784338474274,-1.49370527267456,5,44,4665935,74967750325.0975,0.266797805327585,15.355798800905,25.0403238623427,2,2,2.77816332794951,-0.639609228789709,1856226
